"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.496196708E0,-3.788534397E0,-2.303215030E0,2.410071434E0,5.046408294E0
2.506148708E0,-3.866130458E0,-2.502130582E0,2.217123111E0,5.111091572E0
2.516099708E0,-3.861688913E0,-2.798345849E0,1.940583286E0,5.148712872E0
2.526051708E0,-3.799525409E0,-3.267605370E0,1.606136438E0,5.262443581E0
2.536003708E0,-3.786408350E0,-3.740940986E0,1.372712812E0,5.496896226E0
2.545955708E0,-3.785165232E0,-4.190145727E0,1.205398975E0,5.773888095E0
2.555906708E0,-3.701878077E0,-4.573927434E0,1.125011893E0,5.990856802E0
2.565858708E0,-3.603017448E0,-4.825341042E0,1.086179364E0,6.119267645E0
2.575810708E0,-3.478666466E0,-4.961120406E0,1.016769406E0,6.143912117E0
2.585762708E0,-3.277264971E0,-4.969727508E0,9.417765266E-1,6.027072276E0
2.595714708E0,-3.017241045E0,-4.899347204E0,8.038488954E-1,5.809777930E0
2.605665708E0,-2.661943172E0,-5.039665470E0,6.360313211E-1,5.734867508E0
2.615617708E0,-2.253814536E0,-5.244736093E0,4.504273939E-1,5.726239734E0
2.625569708E0,-2.007812233E0,-5.372756202E0,2.701073031E-1,5.742018559E0
2.635521708E0,-1.896860731E0,-5.444540130E0,1.138995217E-1,5.766634284E0
2.645472708E0,-1.759039519E0,-5.464220104E0,1.216693018E-1,5.741665681E0
2.655424708E0,-1.558850736E0,-5.691528858E0,1.797334689E-1,5.903881814E0
2.665376708E0,-1.430360511E0,-6.040329305E0,1.738675421E-1,6.209809919E0
2.675328708E0,-1.620747022E0,-6.093178194E0,1.114637178E-1,6.306034061E0
2.685280708E0,-2.148699140E0,-5.554076021E0,1.346015887E-1,5.956742904E0
2.695231708E0,-2.684016995E0,-4.486983722E0,3.095801018E-1,5.237634008E0
2.705183708E0,-3.133664955E0,-3.104952495E0,5.919766442E-1,4.450957470E0
2.715135708E0,-3.499699486E0,-1.811043778E0,8.901288016E-1,4.039815013E0
2.725087708E0,-3.626533780E0,-6.118058681E-1,1.026060047E0,3.818226407E0
2.735038708E0,-3.465085723E0,2.980548012E-1,1.039795888E0,3.629990527E0
2.744990708E0,-2.991745430E0,8.037746358E-1,9.908557159E-1,3.252443610E0
2.754942708E0,-2.287068821E0,9.868825328E-1,7.348051192E-1,2.597028973E0
2.764894708E0,-1.431907684E0,8.605130929E-1,2.799820809E-1,1.693880859E0
2.774846708E0,-6.357274121E-1,6.366126806E-1,-2.493387240E-1,9.335924415E-1
2.784797708E0,-6.443924010E-2,3.187241238E-1,-9.042366712E-1,9.609273855E-1
2.794749708E0,2.611039066E-1,-4.199002504E-2,-1.489698640E0,1.512990565E0
2.804701708E0,3.023940200E-1,-4.698448277E-1,-2.115225731E0,2.187778827E0
2.814653708E0,2.422302639E-1,-8.565913653E-1,-2.579946497E0,2.729202850E0
2.824604708E0,2.611056608E-1,-1.062969427E0,-2.798799593E0,3.005222010E0
2.834556708E0,4.049804950E-1,-1.271432605E0,-2.662668811E0,2.978314165E0
2.844508708E0,6.330341846E-1,-1.456074226E0,-2.195315336E0,2.709297668E0
2.854460708E0,8.795919728E-1,-1.515985968E0,-1.606071680E0,2.377259291E0
2.864412708E0,1.029557267E0,-1.476236011E0,-1.144545248E0,2.132895860E0
2.874363708E0,1.038080753E0,-1.312605189E0,-7.555334987E-1,1.836130415E0
2.884315708E0,1.001519868E0,-9.900879765E-1,-3.739042979E-1,1.457093226E0
2.894267708E0,9.562770367E-1,-5.855618101E-1,-4.744021475E-2,1.122318573E0
