"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.853350875E0,-1.461069649E0,1.052156463E0,7.536901932E0,7.748977253E0
1.863302875E0,-1.006343309E0,9.189624453E-1,7.684310238E0,7.804219543E0
1.873254875E0,-3.490946350E-1,6.738240686E-1,7.684418412E0,7.721799808E0
1.883205875E0,3.779762258E-1,6.050622743E-1,7.335534350E0,7.370144543E0
1.893157875E0,1.178950192E0,4.081169415E-1,6.501947100E0,6.620558820E0
1.903109875E0,1.668981581E0,1.779009515E-1,4.889515404E0,5.169575335E0
1.913061875E0,1.565362049E0,3.097311062E-1,2.794170937E0,3.217713929E0
1.923012875E0,1.121383988E0,3.380392313E-1,7.240525281E-1,1.376962103E0
1.932964875E0,5.767264846E-1,1.514405465E-1,-9.665424085E-1,1.135672446E0
1.942916875E0,2.759074487E-1,1.600792229E-2,-2.224221193E0,2.241325743E0
1.952867875E0,3.429117161E-1,3.373901904E-2,-3.300190734E0,3.318129842E0
1.962819875E0,5.001103082E-1,-1.586080635E-1,-4.073763916E0,4.107410289E0
1.972771875E0,3.710706642E-1,-5.341998678E-1,-4.337144144E0,4.385645022E0
1.982723875E0,1.042062634E-1,-1.076902026E0,-4.254729393E0,4.390136573E0
1.992674875E0,1.818082072E-3,-1.511779188E0,-4.366400102E0,4.620706599E0
2.002626875E0,3.831189251E-1,-1.984765725E0,-4.649101285E0,5.069538228E0
2.012578875E0,1.070293576E0,-2.192272591E0,-5.175591599E0,5.721742379E0
2.022529875E0,1.633549793E0,-2.390583980E0,-5.773342515E0,6.458704242E0
2.032478958E0,1.850083298E0,-2.632982497E0,-6.302909049E0,7.076868483E0
2.042430958E0,1.903869789E0,-2.810819129E0,-6.814297174E0,7.613151143E0
2.052381958E0,1.959699150E0,-2.945522606E0,-7.428853573E0,8.228267715E0
2.062333958E0,1.893941801E0,-2.952433722E0,-8.127762489E0,8.852367113E0
2.072285958E0,1.477771782E0,-2.960494401E0,-8.807030023E0,9.408087710E0
2.082237958E0,8.727844251E-1,-3.066913726E0,-9.284168082E0,9.816490689E0
2.092188958E0,3.976321529E-1,-3.231549392E0,-9.418121361E0,9.965040531E0
2.102140958E0,1.679191697E-1,-3.097665403E0,-9.532824436E0,1.002489249E1
2.112092958E0,3.322161354E-1,-3.154011804E0,-9.364094258E0,9.886577734E0
2.122043958E0,1.252002892E0,-3.317027791E0,-8.489922069E0,9.200487017E0
2.131995958E0,2.671220364E0,-2.877838453E0,-7.135451401E0,8.144448360E0
2.141947958E0,3.949387792E0,-2.403176397E0,-5.517088873E0,7.197999053E0
2.151899958E0,4.561654420E0,-2.269706683E0,-3.357116886E0,6.101679545E0
2.161850958E0,4.423977927E0,-1.982773286E0,-2.545637959E-1,4.854665110E0
2.171802958E0,3.612215995E0,-1.602186205E0,3.147046309E0,5.051633943E0
2.181754958E0,2.362149116E0,-5.807156378E-1,6.578950837E0,7.014240744E0
2.191705958E0,1.799044999E0,8.760099685E-1,9.259807997E0,9.473542132E0
2.201657958E0,1.685520431E0,1.240130705E0,1.110992959E1,1.130528367E1
2.211609958E0,1.495692036E0,1.285737233E0,1.326748200E1,1.341328795E1
2.221560958E0,1.242121682E0,9.066637042E-1,1.557855657E1,1.565427514E1
2.231512958E0,8.448099567E-1,3.747881046E-1,1.713059471E1,1.715550772E1
2.241464958E0,2.134882206E-1,5.347565228E-1,1.759463326E1,1.760405241E1
2.251416958E0,-6.961571433E-1,1.239998997E0,1.669982566E1,1.676026281E1
2.261367958E0,-1.150419872E0,1.440632607E0,1.442636039E1,1.454368461E1
2.271319958E0,-1.153551495E0,1.529230642E0,1.161815321E1,1.177500367E1
2.281271958E0,-8.547861837E-1,1.859127187E0,8.568918537E0,8.809845528E0
2.291222958E0,-3.864406918E-1,2.330992227E0,5.217508534E0,5.727587317E0
2.301174958E0,-3.879700676E-3,2.937507535E0,2.026370711E0,3.568633328E0
2.311126958E0,2.830717862E-1,3.586341773E0,-6.281447428E-1,3.651923160E0
2.321077958E0,2.604100979E-1,4.071104017E0,-2.694050233E0,4.888722532E0
2.331029958E0,-4.070170802E-1,4.659289473E0,-4.078787259E0,6.205734993E0
2.340981958E0,-1.315540199E0,5.310474000E0,-4.895330459E0,7.341392268E0
2.350933958E0,-2.281639096E0,5.306449946E0,-5.348518324E0,7.872162108E0
2.360884958E0,-3.323492473E0,4.676572966E0,-5.324676887E0,7.827395535E0
2.370836958E0,-4.077923040E0,3.935578423E0,-5.222717233E0,7.706815759E0
2.380788958E0,-4.462033361E0,3.217238039E0,-5.600682423E0,7.850350687E0
2.390739958E0,-4.574065720E0,2.827490126E0,-6.462690064E0,8.407326596E0
2.400691958E0,-4.236173547E0,3.013906378E0,-7.223470123E0,8.899849357E0
2.410643958E0,-4.022206677E0,3.861607051E0,-8.261826864E0,9.967343613E0
2.420594958E0,-4.147012571E0,4.638479818E0,-8.878607544E0,1.084171943E1
2.430546958E0,-3.528357859E0,3.068691280E0,-9.891643503E0,1.094124246E1
2.440498958E0,-4.345279082E0,2.326578311E0,-1.077332176E1,1.184731525E1
2.450449958E0,-5.689912103E0,2.543375672E0,-1.105056165E1,1.268695283E1
2.460401958E0,-6.763856753E0,2.541715062E0,-1.114157706E1,1.327948844E1
2.470353958E0,-7.381537319E0,2.236412783E0,-1.127020645E1,1.365672687E1
2.480305958E0,-7.561496490E0,1.982617165E0,-1.106440434E1,1.354725225E1
2.490256958E0,-6.711517156E0,1.706774475E0,-1.040015363E1,1.249482842E1
2.500208958E0,-5.905772009E0,1.607064684E0,-9.299960827E0,1.113328664E1
2.510160958E0,-5.605833235E0,1.842048639E0,-7.022524710E0,9.172478550E0
2.520111958E0,-4.916268754E0,2.272856286E0,-4.225677502E0,6.869637873E0
2.530063958E0,-4.310920258E0,4.117751057E0,-3.997969383E-1,5.974926346E0
2.540015958E0,-3.417204044E0,3.055438273E0,3.089151857E0,5.527734230E0
2.549966958E0,-1.824645571E0,3.585331374E-1,6.311382834E0,6.579622386E0
2.559918958E0,-1.194744910E0,2.092721990E0,1.069511525E1,1.096322904E1
2.569870958E0,2.322341564E-1,4.877166669E0,1.569120435E1,1.643333750E1
2.579822958E0,2.365234692E0,5.579089825E0,1.901662699E1,1.995877452E1
2.589773958E0,3.021809474E0,6.087369570E0,1.992742321E1,2.105444363E1
2.599725958E0,2.330515387E0,5.983537053E0,1.967010830E1,2.069171762E1
2.609677958E0,1.433768268E0,4.068646140E0,1.815748740E1,1.866290229E1
2.619628958E0,2.035751984E-1,2.218674378E0,1.567853460E1,1.583604768E1
2.629580958E0,-1.718138538E-1,1.604149262E0,1.407997367E1,1.417210194E1
2.639532958E0,5.880736278E-1,2.282339593E0,1.408648981E1,1.428230022E1
2.649483958E0,1.509078067E0,2.665525176E0,1.490569291E1,1.521716209E1
2.659435958E0,2.224557992E0,1.993408933E0,1.461904485E1,1.492108608E1
2.669387958E0,3.096242483E0,3.314301234E-1,1.296386182E1,1.333260203E1
2.679338958E0,3.138620471E0,-2.370645413E0,1.063201093E1,1.133624958E1
2.689290958E0,4.155184640E0,-3.443796888E0,7.327997873E0,9.100815855E0
2.699242958E0,4.411623053E0,-4.031558129E0,3.277481902E0,6.815993436E0
2.709193958E0,3.972686607E0,-4.004018912E0,-8.963682193E-1,5.711206730E0
2.719145958E0,3.729436589E0,-3.903602631E0,-4.183280511E0,6.829835035E0
2.729097958E0,3.421127233E0,-4.163027510E0,-6.396176816E0,8.363371776E0
2.739049958E0,2.681090756E0,-4.407735824E0,-7.961612102E0,9.487025350E0
2.749000958E0,2.187570991E0,-4.343943871E0,-9.045391769E0,1.027007436E1
2.758952958E0,1.922678820E0,-4.334631887E0,-9.186256456E0,1.033794153E1
2.768904958E0,1.337112039E0,-4.346728315E0,-8.183094106E0,9.361887886E0
2.778855958E0,6.192075661E-1,-4.223018188E0,-6.293096836E0,7.603970569E0
2.788807958E0,3.164393974E-1,-4.203573273E0,-4.760179086E0,6.358417027E0
2.798759958E0,4.269653680E-1,-4.083025321E0,-4.161535885E0,5.845663018E0
2.808710958E0,9.913837925E-1,-4.191290612E0,-4.448597336E0,6.191912231E0
2.818662958E0,1.948636949E0,-4.634991661E0,-5.679259061E0,7.585137911E0
2.828614958E0,2.417751459E0,-4.554074090E0,-7.493266500E0,9.095831781E0
